49.8,132.9,0.0
60.3,129.3,0.0
75.6,129.0,0.0
87.9,131.7,0.0
96.9,129.6,0.0
111.0,120.0,0.0
115.2,110.7,0.0
120.6,96.9,0.0
127.8,88.5,0.0
135.9,77.4,0.0
135.9,65.1,0.0
133.2,51.3,0.0
128.4,43.2,0.0
119.7,36.3,0.0
105.0,35.7,0.0
90.0,36.3,0.0
82.5,46.2,0.0
82.5,63.6,0.0
83.4,82.2,0.0
77.1,93.9,0.0
61.2,88.5,0.0
55.5,73.5,0.0
57.9,54.6,0.0
66.6,45.0,0.0
75.9,36.3,0.0
79.2,25.5,0.0
78.0,13.2,0.0
65.1,6.0,0.0
50.7,6.0,0.0
36.6,11.7,0.0
29.1,21.3,0.0
24.0,36.9,0.0
24.0,56.1,0.0
29.1,70.8,0.0
24.9,77.7,0.0
13.5,77.7,0.0
6.3,81.6,0.0
5.7,92.7,0.0
6.3,107.7,0.0
8.7,118.2,0.0
15.3,122.7,0.0
24.3,125.4,0.0
31.2,126.0,0.0
40.8,129.6,0.0
49.8,132.9,0.0
